,MONTH,HS_CODE,PRODUCT_NAME,TRADE_PARTNER_CODE,TRADE_PARTNER_NAME,TRADE_METHOD_CODE,TRADE_METHOD_NAME,ORIGIN_CODE,ORIGIN_NAME,QUANTITY,QUANTITY_UNIT,WEIGHT,WEIGHT_UNIT,TRADE_VALUE,AVG_UNIT_PRICE,GEO_LOCATION
3160,2021-06-28,84717011,固态硬盘(SSD),402,Argentina,10,General trade,33,Zhejiang,1602,PCS,114,KG,26003,16.23158551810237,"29.1416° N, 119.7889° E"
3161,2021-06-28,84717011,固态硬盘(SSD),402,Argentina,10,General trade,44,Guangdong,3,PCS,1,KG,2889,963.0,"23.3790° N, 113.7633° E"
3162,2021-06-28,84717011,固态硬盘(SSD),402,Argentina,15,Import processing trade,50,Chongqing,3345,PCS,23,KG,116173,34.73034379671151,"29.4316° N, 106.9123° E"
3163,2021-06-28,84717011,固态硬盘(SSD),402,Argentina,34,Logistics goods in areas under special customs supervision,32,Jiangsu,46,PCS,0,KG,2053,44.630434782608695,"32.0603° N, 118.7969° E"
3164,2021-06-28,84717011,固态硬盘(SSD),408,Bolivia,10,General trade,33,Zhejiang,50,PCS,3,KG,1521,30.42,"29.1416° N, 119.7889° E"
3165,2021-06-28,84717011,固态硬盘(SSD),408,Bolivia,10,General trade,44,Guangdong,4,PCS,1,KG,1130,282.5,"23.3790° N, 113.7633° E"
3166,2021-06-28,84717011,固态硬盘(SSD),410,Brazil,10,General trade,32,Jiangsu,3,PCS,2,KG,1250,416.6666666666667,"32.0603° N, 118.7969° E"
3167,2021-06-28,84717011,固态硬盘(SSD),410,Brazil,10,General trade,33,Zhejiang,4980,PCS,327,KG,87749,17.620281124497993,"29.1416° N, 119.7889° E"
3168,2021-06-28,84717011,固态硬盘(SSD),410,Brazil,10,General trade,35,Fujian,20,PCS,1,KG,900,45.0,"26.0789° N, 119.3062° E"
3169,2021-06-28,84717011,固态硬盘(SSD),410,Brazil,10,General trade,44,Guangdong,1433,PCS,187,KG,404497,282.2728541521284,"23.3790° N, 113.7633° E"
3170,2021-06-28,84717011,固态硬盘(SSD),410,Brazil,15,Import processing trade,34,Anhui,275,PCS,3,KG,15125,55.0,"31.8257° N, 117.2264° E"
3171,2021-06-28,84717011,固态硬盘(SSD),410,Brazil,15,Import processing trade,50,Chongqing,138,PCS,0,KG,9000,65.21739130434783,"29.4316° N, 106.9123° E"
3172,2021-06-28,84717011,固态硬盘(SSD),410,Brazil,15,Import processing trade,51,Sichuan,404,PCS,2,KG,10447,25.85891089108911,"30.2638° N, 102.8055° E"
3173,2021-06-28,84717011,固态硬盘(SSD),410,Brazil,34,Logistics goods in areas under special customs supervision,32,Jiangsu,15100,PCS,147,KG,493412,32.67629139072848,"32.0603° N, 118.7969° E"
3174,2021-06-28,84717011,固态硬盘(SSD),410,Brazil,34,Logistics goods in areas under special customs supervision,50,Chongqing,40412,PCS,324,KG,2112820,52.281995446896964,"29.4316° N, 106.9123° E"
3175,2021-06-28,84717011,固态硬盘(SSD),410,Brazil,39,other,33,Zhejiang,1800,PCS,49,KG,49,0.02722222222222222,"29.1416° N, 119.7889° E"
3176,2021-06-28,84717011,固态硬盘(SSD),412,Chile,10,General trade,33,Zhejiang,2404,PCS,172,KG,77423,32.205906821963396,"29.1416° N, 119.7889° E"
3177,2021-06-28,84717011,固态硬盘(SSD),412,Chile,10,General trade,34,Anhui,320,PCS,16,KG,30600,95.625,"31.8257° N, 117.2264° E"
3178,2021-06-28,84717011,固态硬盘(SSD),412,Chile,10,General trade,44,Guangdong,1853,PCS,154,KG,62709,33.84187803561792,"23.3790° N, 113.7633° E"
3179,2021-06-28,84717011,固态硬盘(SSD),412,Chile,15,Import processing trade,31,Shanghai,75,PCS,6,KG,4185,55.8,"31.2304° N, 121.4737° E"
3180,2021-06-28,84717011,固态硬盘(SSD),412,Chile,15,Import processing trade,50,Chongqing,105,PCS,0,KG,7596,72.34285714285714,"29.4316° N, 106.9123° E"
3181,2021-06-28,84717011,固态硬盘(SSD),412,Chile,34,Logistics goods in areas under special customs supervision,32,Jiangsu,70,PCS,2,KG,4170,59.57142857142857,"32.0603° N, 118.7969° E"
3182,2021-06-28,84717011,固态硬盘(SSD),413,Colombia,10,General trade,36,Jiangxi,50,PCS,26,KG,1000,20.0,"27.6140° N, 115.7221° E"
3183,2021-06-28,84717011,固态硬盘(SSD),413,Colombia,10,General trade,44,Guangdong,699,PCS,45,KG,12278,17.565092989985693,"23.3790° N, 113.7633° E"
3184,2021-06-28,84717011,固态硬盘(SSD),413,Colombia,15,Import processing trade,50,Chongqing,201,PCS,0,KG,10184,50.666666666666664,"29.4316° N, 106.9123° E"
3185,2021-06-28,84717011,固态硬盘(SSD),413,Colombia,34,Logistics goods in areas under special customs supervision,32,Jiangsu,241,PCS,10,KG,12482,51.79253112033195,"32.0603° N, 118.7969° E"
3186,2021-06-28,84717011,固态硬盘(SSD),415,costa rica,10,General trade,44,Guangdong,201,PCS,15,KG,3450,17.16417910447761,"23.3790° N, 113.7633° E"
3187,2021-06-28,84717011,固态硬盘(SSD),415,costa rica,15,Import processing trade,50,Chongqing,12,PCS,0,KG,749,62.416666666666664,"29.4316° N, 106.9123° E"
3188,2021-06-28,84717011,固态硬盘(SSD),419,ecuador,10,General trade,33,Zhejiang,1450,PCS,105,KG,26555,18.313793103448276,"29.1416° N, 119.7889° E"
3189,2021-06-28,84717011,固态硬盘(SSD),419,ecuador,10,General trade,36,Jiangxi,100,PCS,10,KG,800,8.0,"27.6140° N, 115.7221° E"
3190,2021-06-28,84717011,固态硬盘(SSD),419,ecuador,10,General trade,44,Guangdong,257,PCS,14,KG,3441,13.38910505836576,"23.3790° N, 113.7633° E"
3191,2021-06-28,84717011,固态硬盘(SSD),419,ecuador,15,Import processing trade,32,Jiangsu,1,PCS,0,KG,72,72.0,"32.0603° N, 118.7969° E"
3192,2021-06-28,84717011,固态硬盘(SSD),419,ecuador,15,Import processing trade,50,Chongqing,10,PCS,0,KG,514,51.4,"29.4316° N, 106.9123° E"
3193,2021-06-28,84717011,固态硬盘(SSD),419,ecuador,33,Inbound and outbound goods in bonded supervision places,44,Guangdong,39,PCS,88,KG,720,18.46153846153846,"23.3790° N, 113.7633° E"
3194,2021-06-28,84717011,固态硬盘(SSD),423,Guatemala,10,General trade,33,Zhejiang,556,PCS,39,KG,11415,20.530575539568346,"29.1416° N, 119.7889° E"
3195,2021-06-28,84717011,固态硬盘(SSD),423,Guatemala,10,General trade,44,Guangdong,3,PCS,1,KG,1388,462.6666666666667,"23.3790° N, 113.7633° E"
3196,2021-06-28,84717011,固态硬盘(SSD),423,Guatemala,15,Import processing trade,50,Chongqing,11,PCS,0,KG,534,48.54545454545455,"29.4316° N, 106.9123° E"
3197,2021-06-28,84717011,固态硬盘(SSD),426,Honduras,10,General trade,44,Guangdong,1,PCS,0,KG,238,238.0,"23.3790° N, 113.7633° E"
3198,2021-06-28,84717011,固态硬盘(SSD),426,Honduras,15,Import processing trade,50,Chongqing,5,PCS,0,KG,301,60.2,"29.4316° N, 106.9123° E"
3199,2021-06-28,84717011,固态硬盘(SSD),429,Mexico,10,General trade,33,Zhejiang,1030,PCS,30,KG,18620,18.07766990291262,"29.1416° N, 119.7889° E"
3200,2021-06-28,84717011,固态硬盘(SSD),429,Mexico,10,General trade,44,Guangdong,165,PCS,35,KG,28059,170.05454545454546,"23.3790° N, 113.7633° E"
3201,2021-06-28,84717011,固态硬盘(SSD),429,Mexico,15,Import processing trade,31,Shanghai,6420,PCS,973,KG,4004968,623.8267912772586,"31.2304° N, 121.4737° E"
3202,2021-06-28,84717011,固态硬盘(SSD),429,Mexico,15,Import processing trade,44,Guangdong,19416,PCS,1966,KG,23362721,1203.2715801400907,"23.3790° N, 113.7633° E"
3203,2021-06-28,84717011,固态硬盘(SSD),429,Mexico,15,Import processing trade,50,Chongqing,36,PCS,0,KG,1175,32.638888888888886,"29.4316° N, 106.9123° E"
3204,2021-06-28,84717011,固态硬盘(SSD),429,Mexico,34,Logistics goods in areas under special customs supervision,31,Shanghai,26406,PCS,2034,KG,7166016,271.37832310838445,"31.2304° N, 121.4737° E"
3205,2021-06-28,84717011,固态硬盘(SSD),429,Mexico,34,Logistics goods in areas under special customs supervision,32,Jiangsu,401,PCS,6,KG,22210,55.38653366583541,"32.0603° N, 118.7969° E"
3206,2021-06-28,84717011,固态硬盘(SSD),429,Mexico,34,Logistics goods in areas under special customs supervision,50,Chongqing,358,PCS,2,KG,18270,51.03351955307262,"29.4316° N, 106.9123° E"
3207,2021-06-28,84717011,固态硬盘(SSD),429,Mexico,34,Logistics goods in areas under special customs supervision,61,Shaanxi,46530,PCS,1541,KG,5982974,128.58315065549107,"35.7452° N, 109.0085° E"
3208,2021-06-28,84717011,固态硬盘(SSD),431,nicaragua,10,General trade,44,Guangdong,3,PCS,0,KG,1894,631.3333333333334,"23.3790° N, 113.7633° E"
3209,2021-06-28,84717011,固态硬盘(SSD),431,nicaragua,15,Import processing trade,50,Chongqing,10,PCS,0,KG,628,62.8,"29.4316° N, 106.9123° E"
3210,2021-06-28,84717011,固态硬盘(SSD),432,Panama,10,General trade,44,Guangdong,1,PCS,0,KG,91,91.0,"23.3790° N, 113.7633° E"
3211,2021-06-28,84717011,固态硬盘(SSD),432,Panama,15,Import processing trade,50,Chongqing,14,PCS,0,KG,653,46.642857142857146,"29.4316° N, 106.9123° E"
3212,2021-06-28,84717011,固态硬盘(SSD),433,Paraguay,10,General trade,44,Guangdong,7300,PCS,375,KG,132100,18.095890410958905,"23.3790° N, 113.7633° E"
3213,2021-06-28,84717011,固态硬盘(SSD),434,Peru,10,General trade,33,Zhejiang,1200,PCS,86,KG,27000,22.5,"29.1416° N, 119.7889° E"
3214,2021-06-28,84717011,固态硬盘(SSD),434,Peru,10,General trade,44,Guangdong,11,PCS,2,KG,3975,361.3636363636364,"23.3790° N, 113.7633° E"
3215,2021-06-28,84717011,固态硬盘(SSD),434,Peru,15,Import processing trade,50,Chongqing,62,PCS,0,KG,3566,57.516129032258064,"29.4316° N, 106.9123° E"
3216,2021-06-28,84717011,固态硬盘(SSD),434,Peru,34,Logistics goods in areas under special customs supervision,32,Jiangsu,151,PCS,0,KG,8553,56.64238410596027,"32.0603° N, 118.7969° E"
3217,2021-06-28,84717011,固态硬盘(SSD),435,puerto rico,15,Import processing trade,50,Chongqing,3,PCS,0,KG,182,60.666666666666664,"29.4316° N, 106.9123° E"
3218,2021-06-28,84717011,固态硬盘(SSD),444,Uruguay,10,General trade,33,Zhejiang,600,PCS,43,KG,8771,14.618333333333334,"29.1416° N, 119.7889° E"
3219,2021-06-28,84717011,固态硬盘(SSD),501,Canada,10,General trade,31,Shanghai,1,PCS,0,KG,240,240.0,"31.2304° N, 121.4737° E"
3220,2021-06-28,84717011,固态硬盘(SSD),501,Canada,10,General trade,37,Shandong,1,PCS,1,KG,637,637.0,"36.0671° N, 119.3219° E"
3221,2021-06-28,84717011,固态硬盘(SSD),501,Canada,10,General trade,44,Guangdong,17350,PCS,606,KG,592397,34.14391930835735,"23.3790° N, 113.7633° E"
3222,2021-06-28,84717011,固态硬盘(SSD),501,Canada,15,Import processing trade,31,Shanghai,5884,PCS,540,KG,409219,69.54775662814411,"31.2304° N, 121.4737° E"
3223,2021-06-28,84717011,固态硬盘(SSD),501,Canada,15,Import processing trade,32,Jiangsu,23,PCS,0,KG,2080,90.43478260869566,"32.0603° N, 118.7969° E"
3224,2021-06-28,84717011,固态硬盘(SSD),501,Canada,15,Import processing trade,44,Guangdong,6,PCS,0,KG,19721,3286.8333333333335,"23.3790° N, 113.7633° E"
3225,2021-06-28,84717011,固态硬盘(SSD),501,Canada,34,Logistics goods in areas under special customs supervision,31,Shanghai,254,PCS,3,KG,30178,118.81102362204724,"31.2304° N, 121.4737° E"
3226,2021-06-28,84717011,固态硬盘(SSD),501,Canada,34,Logistics goods in areas under special customs supervision,32,Jiangsu,304,PCS,3,KG,20322,66.84868421052632,"32.0603° N, 118.7969° E"
3227,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,10,General trade,11,Beijing,4,PCS,1,KG,1223,305.75,"39.9042° N, 116.4074° E"
3228,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,10,General trade,12,Tianjin,877,PCS,83,KG,327853,373.83466362599773,"39.3434° N, 117.3616° E"
3229,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,10,General trade,31,Shanghai,792,PCS,24,KG,125828,158.87373737373738,"31.2304° N, 121.4737° E"
3230,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,10,General trade,32,Jiangsu,220,PCS,3,KG,17415,79.1590909090909,"32.0603° N, 118.7969° E"
3231,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,10,General trade,33,Zhejiang,4302,PCS,142,KG,65488,15.222687122268713,"29.1416° N, 119.7889° E"
3232,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,10,General trade,37,Shandong,154,PCS,59,KG,68575,445.2922077922078,"36.0671° N, 119.3219° E"
3233,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,10,General trade,42,Hubei,325,PCS,28,KG,89923,276.68615384615384,"30.9756° N, 112.2707° E"
3234,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,10,General trade,43,Hunan,401,PCS,206,KG,1391,3.4688279301745637,"27.6253° N, 111.8569° E"
3235,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,10,General trade,44,Guangdong,13605,PCS,1361,KG,456167,33.52936420433664,"23.3790° N, 113.7633° E"
3236,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,14,Processing trade with incoming materials,32,Jiangsu,379,PCS,34,KG,480957,1269.0158311345647,"32.0603° N, 118.7969° E"
3237,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,15,Import processing trade,31,Shanghai,138903,PCS,10458,KG,9835349,70.80731877641232,"31.2304° N, 121.4737° E"
3238,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,15,Import processing trade,32,Jiangsu,13538,PCS,1231,KG,2537437,187.43071354705273,"32.0603° N, 118.7969° E"
3239,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,15,Import processing trade,44,Guangdong,1454,PCS,339,KG,3129855,2152.582530949106,"23.3790° N, 113.7633° E"
3240,2021-06-28,84717011,固态硬盘(SSD),502,U.S.,15,Import processing trade,50,Chongqing,1035,PCS,40,KG,69426,67.07826086956521,"29.4316° N, 106.9123° E"
